;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
279;301;361,5;100;100;144;150;32;48;25;63,5
280;493;569;148;152;257;270,5;62;78;26;68,5
281;488,2;603;180;166;156;189;64;96;88,2;152
282;406,8;408,5;124;129,5;140;85;48;76;94,8;118
283;488,2;629,5;180;168,5;156;203;64;96,5;88,2;161,5
284;406,8;466;124;121;140;120;48;64;94,8;161
285;87;98;31;27,5;34;36;12;16;10;18,5
286;170;185,5;54;53,5;68;70;28;32,5;20;29,5
287;341;409,5;119;121;161;166;42;58;19;64,5
288;133;183,5;46;50;51;81;20;24;16;28,5
289;912;1095;336;352;384;397;144;164;48;182
290;908;1020,5;336;350;384;361,5;144;166;44;143
291;908;1071;336;353;384;397;144;172;44;149
292;355,6;409;134;116;112;121;32;62;77,6;110
293;351,6;429,5;134;118;112;122;32;60,5;73,6;129
294;352,6;387;134;120,5;112;120;32;54,5;74,6;92
295;377,6;424;132;126,5;124;127;36;66;85,6;104,5
296;783,6;819;252;268;327;264;60;96;144,6;191
297;379,6;455,5;134;131;124;133;36;67;85,6;124,5
298;217,6;305;68;92;64;94;24;38;61,6;81
299;321,5;515,5;108;154;129;164,5;36;77,5;48,5;119,5
300;366,5;634,5;108;186;129;168;36;132;93,5;148,5
301;469,2;502;156;135,5;156;138;60;81,5;97,2;147
302;125,2;194;46;49;42;63;16;29;21,2;53
303;125,2;175,5;46;49;42;54,5;16;26;21,2;46
304;125,2;196;46;59;42;62;16;26;21,2;49
305;125,2;94,5;46;25,5;42;29;16;13,5;21,2;26,5
306;261,6;269,5;90;76;94;85;44;54;33,6;54,5
307;261,6;267;90;87,5;94;78;44;54,5;33,6;47
308;370;386,5;132;126;166;135;40;56;32;69,5
309;377,6;466,5;132;127,5;124;145;36;62;85,6;132
310;1835,2;1995,5;672;704,5;928;875;168;229;67,2;187
311;294,6;361;92;101;102;136;36;43,5;64,6;80,5
312;641;877;220;240;292;412;80;108;49;117
313;329,6;397,5;124;113;98;121;32;58;75,6;105,5
314;669;848,5;240;288;320;371;72;88;37;101,5
315;176;234;74;72;65;83;24;33;13;46
316;355,6;411,5;134;115,5;112;130;32;55;77,6;111
317;377,6;427;132;130,5;124;128,5;36;64;85,6;104
318;639;913;220;263;292;385;80;125;47;140
319;126;156,5;47;44,5;51;66;16;21;12;25
320;312;396;126;113,5;120;157,5;32;48;34;77
321;219,2;273;72;86;72;64;24;41;51,2;82
322;304;401,5;118;130;120;146;32;53;34;72,5
323;85;117;36;42;31;35;12;16;6;24
324;781,6;829;252;236;327;282;60;96;142,6;215
325;352,6;444,5;116;117;156;189;40;61;40,6;77,5
326;379,6;490,5;132;119;124;120;36;83;87,6;168,5
327;377,6;469;132;122,5;124;121;36;84;85,6;141,5
328;553,4;646;218;197,5;182;217;64;87;89,4;144,5
329;732,3;886,5;270;252,5;234;283;96;131,5;132,3;219,5
330;732,3;776;270;194,5;234;242,5;96;138;132,3;201
331;802,3;901;267;255;234;298,5;96;136;205,3;211,5
332;801,3;916;267;269;234;275;96;157;204,3;215
333;729,3;954,5;267;312,5;234;268,5;96;152,5;132,3;221
334;244;309;96;98;88;98;36;48;24;65
335;741,3;959;267;310;234;280;96;103;144,3;266
336;175,1;224,5;46;50;55;50;24;40,5;50,1;84
337;93,6;107;36;37;31;22;16;24;10,6;24
338;93,6;120;36;37;31;31;16;23;10,6;29
339;331;381,5;130;132;145;145;36;50;20;54,5
340;743,2;886,5;234;267;306;334,5;70;98;133,2;187
341;743,2;892;234;266;306;339,5;70;105;133,2;181,5
342;741,2;867,5;232;283;306;308;70;100;133,2;176,5
343;126;143,5;47;40;51;50,5;16;24;12;29
344;126;139,5;47;43;51;45,5;16;25;12;26
345;268,6;357,5;92;114,5;102;129;40;60;34,6;54
346;363,6;417;134;125;112;139;32;59;85,6;94
347;252,9;314,5;102;112;81;97;36;50;33,9;55,5
348;252,9;320,5;102;110;81;98,5;36;45;33,9;67
349;390;452,5;136;140;168;177;60;69;26;66,5
350;202,3;237;80;75;68;68,5;16;32;38,3;61,5
351;260;366;84;99;114;133;24;46;38;88
352;404,6;510;152;144;132;152;32;79;88,6;135
353;371;397;153;156;151;143;40;40;27;58
354;402,6;511;152;142;132;165;32;79;86,6;125
355;314;432;104;114;136;194,5;40;58;34;65,5
356;145,6;150;41;41;45;62;11;21;48,6;26
357;123,6;177,5;38;54,5;43;52;16;29;26,6;42
358;123,6;155,5;38;45;43;50;16;23;26,6;37,5
359;142,4;172,5;58;62;42;51,5;24;32;18,4;27
360;553,4;697;218;201;182;224;64;99;89,4;173
361;614;589;234;228;273;220;72;78;35;63
362;236,2;280,5;84;83;95;94;38;46;19,2;57,5
363;390;426;136;140;168;160;60;70;26;56
364;321;392,5;116;107;94;130;32;39,5;79;116
365;377,6;380,5;124;120;98;128,5;32;46;123,6;86
366;562,4;702,5;180;212;176;200,5;72;99;134,4;191
367;656,4;653,5;180;197,5;176;186;72;93;228,4;177
368;306;423,5;102;109;132;179;36;52,5;36;83
369;150;203,5;50;56;68;91;18;24;14;32,5
370;154;218,5;52;61;66;88;18;23,5;18;46
371;154;216;52;64;66;84;18;25,5;18;42,5
372;315;410;102;103,5;132;159,5;36;55,5;45;91,5
373;141,8;167,5;40;45;50;62;16;20;35,8;40,5
374;2664,2;3061,5;854;992;1176;1120,5;448;543,5;186,2;405,5
375;84;104,5;30;32;32;26;12;21,5;10;25
376;620,2;797;186;226;242;288,5;70;102;122,2;180,5
377;618,2;802,5;186;225;242;303;70;94;120,2;180,5
378;623,2;785;186;218;242;304;70;96;125,2;167
379;218,6;313;75;111,5;101;113;24;48;18,6;40,5
380;249;318;89;106,5;110;125;30;38;20;48,5
381;249;324;89;108;110;121,5;30;43;20;51,5
382;207,4;245,5;58;69,5;76;63;24;37,5;49,4;75,5
383;475;535,5;168;174;212;214,5;70;78;25;69
384;310;397;118;143;120;146;32;45;40;63
385;310;433;118;132;120;192;32;51;40;58
386;310;420,5;118;147,5;120;145;32;56;40;72
387;164,2;150;44;56,5;54;33;20;24;46,2;36,5
388;164,2;161,5;44;48;54;30;20;24;46,2;59,5
389;232,4;301;88;92;84;109;32;42;28,4;58
390;232,4;303;88;100;84;106;32;41;28,4;56
391;235,2;214,5;82;76,5;82;55;22;33;49,2;50
392;236,6;261;82;85,5;82;67;22;33;50,6;75,5
393;236,6;253;82;87;82;67;22;34;50,6;65
394;236,6;229,5;82;75,5;82;64;22;36;50,6;54
395;236,6;236;82;61,5;82;66;22;30;50,6;78,5
396;236,6;231,5;82;56;82;63;22;30;50,6;82,5
397;236,6;256;82;63;82;76;22;29;50,6;88
398;413;506,5;130;152;205;234;56;56;22;64,5
399;1835,2;2050;672;702;928;852;168;234;67,2;262
400;406,6;438,5;176;164,5;166;148;36;52;28,6;74
401;133;187,5;46;57;51;85;20;20;16;25,5
402;133,1;188,5;49;58;51;61;18;27;15,1;42,5
403;329,2;345;90;86;88;107;36;48;115,2;104
404;223,2;225,5;82;70;70;65;22;32;49,2;58,5
405;338,2;425,5;130;122;100;123,5;32;53,5;76,2;126,5
406;353,2;435;134;154;136;127;48;60;35,2;94
407;555,2;693,5;180;176,5;176;199,5;72;101;127,2;216,5
408;555,2;668,5;180;183,5;176;195;72;98;127,2;192
409;277,6;303,5;90;84;88;94,5;36;47;63,6;78
410;561;649;218;166;182;221;64;76,5;97;185,5
411;561;650;218;173;182;226;64;77;97;174
412;209,4;222;58;63;76;50;24;32;51,4;77
413;359,4;454;108;139;129;139;36;75;86,4;101
414;575;579,5;188;186,5;283;242,5;82;92;22;58,5
415;85,1;130,5;30;39,5;32;44;12;17,5;11,1;29,5
416;224;293;88;96;74;85;32;46;30;66
417;396,6;419,5;160;152;164;159;44;62;28,6;46,5
418;405,9;493;160;170;164;168;44;66;37,9;89
419;398;423;160;152,5;164;158,5;44;52;30;60
